Unnamed: 0,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,Recency,Frequency,MonetaryValue,R_quartile,F_quartile,M_quartile,RFM_score,RFM_segment,customer_category
19,20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22,709.34,44.0,7.0,3193.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
20,21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,110.80999999999996,55.0,5.0,1914.0,2.0,2.0,2.0,222.0,Mid Value,High Risk Customer
21,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,1544.61,184.0,3.0,2011.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
22,23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-21,1544.61,86.0,8.0,5347.0,1.0,4.0,4.0,144.0,Low Value,Almost Lost Customer
23,24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34,14.0,9.0,6986.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
24,25,89,2822,2017-06-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20,1305.25,11.0,9.0,5473.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
25,26,64,2596,2017-01-10,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2015-05-21,872.8900000000001,72.0,5.0,3854.0,2.0,2.0,3.0,223.0,Mid Value,High Risk Customer
26,27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18,872.8900000000001,256.0,4.0,1424.0,1.0,1.0,1.0,111.0,Low Value,Lost Customer
27,28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-09,114.93,1.0,8.0,2868.0,4.0,4.0,3.0,443.0,High Value,Very Loyal
28,29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,90.09999999999997,29.0,5.0,3153.0,3.0,2.0,3.0,323.0,Mid Value,Late Bloomer
29,30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,128.45999999999992,108.0,3.0,348.0,1.0,1.0,1.0,111.0,Low Value,Lost Customer
30,31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2002-10-10,817.36,62.0,6.0,1185.0,2.0,2.0,1.0,221.0,Mid Value,High Risk Customer
31,32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,448.68,68.0,4.0,2969.0,2.0,1.0,3.0,213.0,Low Value,High Risk Customer
32,33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34,24.0,10.0,5029.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
33,34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.28,219.0,2.0,214.0,1.0,1.0,1.0,111.0,Low Value,Lost Customer
34,35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,167.20999999999998,34.0,6.0,1251.0,3.0,2.0,1.0,321.0,Mid Value,Late Bloomer
35,36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10,155.6500000000001,4.0,5.0,2799.0,4.0,2.0,2.0,422.0,Mid Value,Becoming Loyal
36,37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,737.1700000000001,161.0,4.0,1768.0,1.0,1.0,1.0,111.0,Low Value,Lost Customer
37,38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07,17.869999999999997,24.0,7.0,2509.0,3.0,3.0,2.0,332.0,Mid Value,Potential Customer
38,39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,1069.5500000000002,109.0,4.0,2515.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
39,40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,167.20999999999998,6.0,6.0,2580.0,4.0,2.0,2.0,422.0,Mid Value,Becoming Loyal
40,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16,1660.88,93.0,8.0,4420.0,1.0,4.0,4.0,144.0,Low Value,Almost Lost Customer
41,42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16,1408.91,65.0,5.0,2666.0,2.0,2.0,2.0,222.0,Mid Value,High Risk Customer
42,43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,128.45999999999992,27.0,7.0,1172.0,3.0,3.0,1.0,331.0,Mid Value,Potential Customer
43,44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16,1215.34,8.0,9.0,6182.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
44,45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-17,1295.43,37.0,6.0,6153.0,3.0,2.0,4.0,324.0,Mid Value,Potential Customer
45,46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,574.6200000000001,193.0,4.0,2338.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
46,47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,903.11,24.0,7.0,2907.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
47,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10,502.47,142.0,5.0,2825.0,1.0,2.0,2.0,122.0,Low Value,Evasive Customer
48,49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,110.56,61.0,4.0,1481.0,2.0,1.0,1.0,211.0,Low Value,Almost Lost Customer
49,50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22,431.33,59.0,8.0,5040.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
50,51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,445.2099999999999,53.0,7.0,5916.0,2.0,3.0,4.0,234.0,Mid Value,Losing Customer
51,52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-11,641.64,24.0,5.0,3721.0,3.0,2.0,3.0,323.0,Mid Value,Late Bloomer
52,53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-07,91.15,9.0,6.0,1766.0,4.0,2.0,1.0,421.0,Mid Value,Recent Customer
53,54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12,110.80999999999996,57.0,4.0,2211.0,2.0,1.0,2.0,212.0,Low Value,Almost Lost Customer
54,55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,72.59999999999997,40.0,3.0,673.0,3.0,1.0,1.0,311.0,Low Value,Losing Customer
55,56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09,189.28,46.0,10.0,5463.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
56,57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09,641.64,73.0,7.0,5050.0,2.0,3.0,4.0,234.0,Mid Value,Losing Customer
57,58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,25.08999999999999,46.0,3.0,1463.0,2.0,1.0,1.0,211.0,Low Value,Almost Lost Customer
58,59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02,583.2700000000001,0.0,9.0,2738.0,4.0,4.0,2.0,442.0,Mid Value,Very Loyal
59,60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-28,217.51,12.0,4.0,1504.0,4.0,1.0,1.0,411.0,Low Value,Recent Customer
60,61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02,4.8,49.0,7.0,2784.0,2.0,3.0,2.0,232.0,Mid Value,Losing Customer
61,62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26,12.0,7.0,3263.0,4.0,3.0,3.0,433.0,High Value,Becoming Loyal
62,63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,448.68,13.0,9.0,3939.0,4.0,4.0,3.0,443.0,High Value,Very Loyal
63,64,0,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-10,110.80999999999996,44.0,3.0,999.0,3.0,1.0,1.0,311.0,Low Value,Losing Customer
64,65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-22,133.7800000000002,10.0,8.0,2315.0,4.0,4.0,2.0,442.0,Mid Value,Very Loyal
65,66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26,110.56,1.0,7.0,4892.0,4.0,3.0,4.0,434.0,High Value,Very Loyal
66,67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997,60.0,8.0,4979.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
67,68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-28,451.6500000000001,40.0,4.0,1583.0,3.0,1.0,1.0,311.0,Low Value,Losing Customer
68,69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,1702.5499999999995,67.0,2.0,2932.0,2.0,1.0,3.0,213.0,Low Value,High Risk Customer
69,70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,110.80999999999996,42.0,6.0,1679.0,3.0,2.0,1.0,321.0,Mid Value,Late Bloomer
70,71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.4,14.0,7.0,5027.0,4.0,3.0,4.0,434.0,High Value,Very Loyal
71,72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,1660.88,16.0,5.0,4311.0,4.0,2.0,4.0,424.0,Mid Value,Becoming Loyal
72,73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,15.080000000000004,115.0,4.0,2664.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
73,74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,45.96000000000001,0.0,10.0,6435.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
74,75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,771.12,15.0,9.0,6736.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
75,76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10,15.080000000000004,295.0,3.0,1982.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
76,77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,43.97,74.0,6.0,3894.0,2.0,2.0,3.0,223.0,Mid Value,High Risk Customer
77,78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16,139.2299999999999,53.0,9.0,4002.0,2.0,4.0,3.0,243.0,Mid Value,Losing Customer
78,79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,471.6,42.0,7.0,2587.0,3.0,3.0,2.0,332.0,Mid Value,Potential Customer
79,80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07,209.84000000000003,14.0,8.0,3957.0,4.0,4.0,3.0,443.0,High Value,Very Loyal
80,81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003,23.0,9.0,2956.0,3.0,4.0,3.0,343.0,High Value,Potential Customer
81,82,21,773,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,2011-05-07,690.49,72.0,8.0,5907.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
82,83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-05,110.56,65.0,5.0,2666.0,2.0,2.0,2.0,222.0,Mid Value,High Risk Customer
83,84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26,58.0,6.0,1521.0,2.0,2.0,1.0,221.0,Mid Value,High Risk Customer
84,85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18,75.48000000000002,0.0,9.0,6874.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
85,86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28,448.68,29.0,6.0,3793.0,3.0,2.0,3.0,323.0,Mid Value,Late Bloomer
86,87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-08-05,110.80999999999996,14.0,9.0,6634.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
87,88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20,547.28,1.0,9.0,3474.0,4.0,4.0,3.0,443.0,High Value,Very Loyal
88,89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05,4.8,38.0,8.0,3092.0,3.0,4.0,3.0,343.0,High Value,Potential Customer
89,90,62,439,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23,179.44,99.0,6.0,2750.0,1.0,2.0,2.0,122.0,Low Value,Evasive Customer
90,91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05,409.8600000000001,40.0,10.0,8102.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
91,92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22,1612.25,158.0,5.0,3865.0,1.0,2.0,3.0,123.0,Low Value,Evasive Customer
92,93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04,144.26,2.0,8.0,7228.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
93,94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,110.56,7.0,11.0,3018.0,4.0,4.0,3.0,443.0,High Value,Very Loyal
94,95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12,356.5,72.0,5.0,2946.0,2.0,2.0,3.0,223.0,Mid Value,High Risk Customer
95,96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16,448.68,312.0,2.0,2040.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
96,97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-18,139.2299999999999,39.0,9.0,4090.0,3.0,4.0,3.0,343.0,High Value,Potential Customer
97,98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2003-07-21,133.38,22.0,7.0,3320.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
98,99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10,41.13,138.0,7.0,2823.0,1.0,3.0,2.0,132.0,Low Value,Almost Lost Customer
99,100,0,119,2017-07-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-17,179.44,30.0,4.0,4217.0,3.0,1.0,4.0,314.0,Low Value,Late Bloomer
100,101,18,2347,2017-07-27,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10,459.46000000000015,87.0,9.0,5640.0,1.0,4.0,4.0,144.0,Low Value,Almost Lost Customer
101,102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16,451.6500000000001,81.0,10.0,4842.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
102,103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26,39.0,7.0,4228.0,3.0,3.0,4.0,334.0,High Value,Potential Customer
103,104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82,24.0,7.0,3564.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
104,105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09,1305.25,33.0,5.0,2925.0,3.0,2.0,3.0,323.0,Mid Value,Late Bloomer
105,106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,198.29,40.0,8.0,6854.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
106,107,79,2710,2017-12-22,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09,737.5699999999999,8.0,4.0,977.0,4.0,1.0,1.0,411.0,Low Value,Recent Customer
107,108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,1230.3000000000002,80.0,6.0,2981.0,2.0,2.0,3.0,223.0,Mid Value,High Risk Customer
108,109,39,1335,2017-03-27,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2006-10-01,1230.27,52.0,7.0,3332.0,2.0,3.0,3.0,233.0,Mid Value,Losing Customer
109,110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,437.46,9.0,12.0,8104.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
110,111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,14.229999999999997,137.0,10.0,2739.0,1.0,4.0,2.0,142.0,Low Value,Almost Lost Customer
111,112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,198.22000000000003,82.0,5.0,2465.0,2.0,2.0,2.0,222.0,Mid Value,High Risk Customer
112,113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06,143.36,64.0,11.0,4920.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
113,114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09,1010.02,67.0,3.0,1600.0,2.0,1.0,1.0,211.0,Low Value,Almost Lost Customer
114,115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-10,128.45999999999992,129.0,6.0,5042.0,1.0,2.0,4.0,124.0,Low Value,Evasive Customer
115,116,72,2703,2017-11-21,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2011-01-10,90.09999999999997,19.0,7.0,3679.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
116,117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,1993-04-12,199.0999999999999,31.0,4.0,2189.0,3.0,1.0,2.0,312.0,Low Value,Late Bloomer
117,118,20,22,2017-03-21,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05,195.33999999999992,,,,,,,,,
118,119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22,872.8900000000001,29.0,12.0,5968.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
119,120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,198.29,94.0,4.0,1746.0,1.0,1.0,1.0,111.0,Low Value,Lost Customer
120,121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-11,709.34,26.0,8.0,5783.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
121,122,24,1038,2017-12-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,1993-05-26,957.02,12.0,4.0,2079.0,4.0,1.0,2.0,412.0,Low Value,Recent Customer
122,123,31,1453,2017-03-05,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02,547.28,0.0,5.0,3265.0,4.0,2.0,3.0,423.0,Mid Value,Becoming Loyal
123,124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09,693.76,102.0,5.0,4713.0,1.0,2.0,4.0,124.0,Low Value,Evasive Customer
124,125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12,143.82,19.0,10.0,4222.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
125,126,53,773,2017-04-01,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2003-07-21,693.76,72.0,8.0,5907.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
126,127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2005-05-10,75.48000000000002,108.0,4.0,2609.0,1.0,1.0,2.0,112.0,Low Value,Evasive Customer
127,128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34,48.0,4.0,3130.0,2.0,1.0,3.0,213.0,Low Value,High Risk Customer
128,129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2015-10-18,43.97,137.0,6.0,4563.0,1.0,2.0,4.0,124.0,Low Value,Evasive Customer
129,130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,1660.88,81.0,5.0,3923.0,2.0,2.0,3.0,223.0,Mid Value,High Risk Customer
130,131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10,129.01,150.0,5.0,965.0,1.0,2.0,1.0,121.0,Low Value,Evasive Customer
131,132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,1069.5500000000002,34.0,7.0,4712.0,3.0,3.0,4.0,334.0,High Value,Potential Customer
