customer_id,Recency,Frequency,MonetaryValue,R_quartile,F_quartile,M_quartile,RFM_score,RFM_segment,customer_category
43,61,9,3619,2,4,3,243,Mid Value,Losing Customer
44,35,7,4768,3,3,4,334,High Value,Potential Customer
45,43,3,1048,3,1,1,311,Low Value,Losing Customer
46,53,5,1623,2,2,1,221,Mid Value,High Risk Customer
47,35,7,4332,3,3,4,334,High Value,Potential Customer
48,82,8,5561,2,4,4,244,Mid Value,Losing Customer
49,36,5,4248,3,2,4,324,Mid Value,Potential Customer
50,26,8,5783,3,4,4,344,High Value,Potential Customer
51,55,8,4855,2,4,4,244,Mid Value,Losing Customer
52,4,7,5417,4,3,4,434,High Value,Very Loyal
53,7,5,2950,4,2,3,423,Mid Value,Becoming Loyal
54,67,7,4098,2,3,3,233,Mid Value,Losing Customer
55,46,8,3220,2,4,3,243,Mid Value,Losing Customer
56,2,7,1275,4,3,1,431,Mid Value,Becoming Loyal
57,35,6,5117,3,2,4,324,Mid Value,Potential Customer
58,20,8,3501,3,4,3,343,High Value,Potential Customer
59,22,3,2628,3,1,2,312,Low Value,Late Bloomer
60,200,2,647,1,1,1,111,Low Value,Lost Customer
61,47,7,4254,2,3,4,234,Mid Value,Losing Customer
62,5,6,4920,4,2,4,424,Mid Value,Becoming Loyal
63,68,3,2190,2,1,2,212,Low Value,Almost Lost Customer
64,3,5,546,4,2,1,421,Mid Value,Recent Customer
65,136,6,4441,1,2,4,124,Low Value,Evasive Customer
66,43,5,4549,3,2,4,324,Mid Value,Potential Customer
67,116,5,1203,1,2,1,121,Low Value,Evasive Customer
68,84,3,3842,2,1,3,213,Low Value,High Risk Customer
69,20,6,5294,3,2,4,324,Mid Value,Potential Customer
70,4,5,2736,4,2,2,422,Mid Value,Becoming Loyal
71,131,1,155,1,1,1,111,Low Value,Lost Customer
72,22,5,2559,3,2,2,322,Mid Value,Late Bloomer
73,168,6,2316,1,2,2,122,Low Value,Evasive Customer
74,28,3,966,3,1,1,311,Low Value,Losing Customer
75,60,8,4979,2,4,4,244,Mid Value,Losing Customer
76,1,8,2868,4,4,3,443,High Value,Very Loyal
77,101,3,1657,1,1,1,111,Low Value,Lost Customer
78,211,2,82,1,1,1,111,Low Value,Lost Customer
79,43,6,2597,3,2,2,322,Mid Value,Late Bloomer
80,28,10,5988,3,4,4,344,High Value,Potential Customer
81,4,4,3249,4,1,3,413,Low Value,Recent Customer
82,78,5,2924,2,2,3,223,Mid Value,High Risk Customer
83,80,6,1798,2,2,1,221,Mid Value,High Risk Customer
84,28,7,2295,3,3,2,332,Mid Value,Potential Customer
85,37,6,563,3,2,1,321,Mid Value,Late Bloomer
86,0,9,2360,4,4,2,442,Mid Value,Very Loyal
87,18,9,3740,3,4,3,343,High Value,Potential Customer
88,74,6,2534,2,2,2,222,Mid Value,High Risk Customer
89,4,9,5779,4,4,4,444,High Value,Platinum Customer
90,30,7,2990,3,3,3,333,High Value,Potential Customer
91,9,8,5242,4,4,4,444,High Value,Platinum Customer
92,34,3,2967,3,1,3,313,Low Value,Late Bloomer
93,79,3,2976,2,1,3,213,Low Value,High Risk Customer
94,33,7,4902,3,3,4,334,High Value,Potential Customer
95,38,4,3050,3,1,3,313,Low Value,Late Bloomer
96,70,4,1135,2,1,1,211,Low Value,Almost Lost Customer
97,102,8,4911,1,4,4,144,Low Value,Almost Lost Customer
98,122,5,1930,1,2,2,122,Low Value,Evasive Customer
99,2,9,4557,4,4,4,444,High Value,Platinum Customer
100,11,2,877,4,1,1,411,Low Value,Recent Customer
101,8,4,2589,4,1,2,412,Low Value,Recent Customer
102,42,7,2587,3,3,2,332,Mid Value,Potential Customer
103,49,5,913,2,2,1,221,Mid Value,High Risk Customer
104,64,9,3550,2,4,3,243,Mid Value,Losing Customer
105,89,4,3475,1,1,3,113,Low Value,Evasive Customer
106,1,3,2513,4,1,2,412,Low Value,Recent Customer
107,81,4,2343,2,1,2,212,Low Value,Almost Lost Customer
108,10,3,2557,4,1,2,412,Low Value,Recent Customer
109,8,10,4430,4,4,4,444,High Value,Platinum Customer
110,14,7,2621,4,3,2,432,Mid Value,Becoming Loyal
111,147,4,3014,1,1,3,113,Low Value,Evasive Customer
112,47,6,5742,2,2,4,224,Mid Value,High Risk Customer
113,175,6,2329,1,2,2,122,Low Value,Evasive Customer
114,70,4,2195,2,1,2,212,Low Value,Almost Lost Customer
115,14,8,3135,4,4,3,443,High Value,Very Loyal
116,12,8,2447,4,4,2,442,Mid Value,Very Loyal
117,5,10,6917,4,4,4,444,High Value,Platinum Customer
118,69,5,3550,2,2,3,223,Mid Value,High Risk Customer
119,30,4,4217,3,1,4,314,Low Value,Late Bloomer
120,129,3,1306,1,1,1,111,Low Value,Lost Customer
121,111,4,2892,1,1,3,113,Low Value,Evasive Customer
122,8,5,2695,4,2,2,422,Mid Value,Becoming Loyal
123,191,4,3245,1,1,3,113,Low Value,Evasive Customer
124,2,7,4054,4,3,3,433,High Value,Becoming Loyal
125,83,10,3345,2,4,3,243,Mid Value,Losing Customer
126,11,3,1096,4,1,1,411,Low Value,Recent Customer
127,23,10,3993,3,4,3,343,High Value,Potential Customer
128,137,4,2193,1,1,2,112,Low Value,Evasive Customer
129,178,4,2753,1,1,2,112,Low Value,Evasive Customer
130,76,2,1779,2,1,1,211,Low Value,Almost Lost Customer
131,205,6,5494,1,2,4,124,Low Value,Evasive Customer
132,7,6,2780,4,2,2,422,Mid Value,Becoming Loyal
133,26,5,803,3,2,1,321,Mid Value,Late Bloomer
134,14,6,2946,4,2,3,423,Mid Value,Becoming Loyal
135,115,7,4549,1,3,4,134,Low Value,Almost Lost Customer
136,20,8,3543,3,4,3,343,High Value,Potential Customer
137,27,5,1496,3,2,1,321,Mid Value,Late Bloomer
138,64,7,3377,2,3,3,233,Mid Value,Losing Customer
139,26,9,5161,3,4,4,344,High Value,Potential Customer
140,3,6,2699,4,2,2,422,Mid Value,Becoming Loyal
141,159,3,2138,1,1,2,112,Low Value,Evasive Customer
142,4,11,3917,4,4,3,443,High Value,Very Loyal
143,13,4,2474,4,1,2,412,Low Value,Recent Customer
144,6,8,4888,4,4,4,444,High Value,Platinum Customer
145,28,7,3140,3,3,3,333,High Value,Potential Customer
146,194,2,217,1,1,1,111,Low Value,Lost Customer
147,34,6,5034,3,2,4,324,Mid Value,Potential Customer
148,43,5,3268,3,2,3,323,Mid Value,Late Bloomer
149,18,6,2204,3,2,2,322,Mid Value,Late Bloomer
150,75,4,2446,2,1,2,212,Low Value,Almost Lost Customer
151,0,8,5665,4,4,4,444,High Value,Platinum Customer
152,158,2,1966,1,1,2,112,Low Value,Evasive Customer
153,64,7,5522,2,3,4,234,Mid Value,Losing Customer
154,23,6,683,3,2,1,321,Mid Value,Late Bloomer
155,8,3,1088,4,1,1,411,Low Value,Recent Customer
156,16,5,3095,4,2,3,423,Mid Value,Becoming Loyal
157,135,4,492,1,1,1,111,Low Value,Lost Customer
158,65,6,4627,2,2,4,224,Mid Value,High Risk Customer
159,66,6,2935,2,2,3,223,Mid Value,High Risk Customer
160,93,2,2614,1,1,2,112,Low Value,Evasive Customer
161,159,1,459,1,1,1,111,Low Value,Lost Customer
162,98,3,1329,1,1,1,111,Low Value,Lost Customer
163,114,2,1101,1,1,1,111,Low Value,Lost Customer
164,198,3,786,1,1,1,111,Low Value,Lost Customer
165,8,9,6182,4,4,4,444,High Value,Platinum Customer
166,63,8,4197,2,4,4,244,Mid Value,Losing Customer
167,14,9,5993,4,4,4,444,High Value,Platinum Customer
168,136,9,5800,1,4,4,144,Low Value,Almost Lost Customer
169,61,3,696,2,1,1,211,Low Value,Almost Lost Customer
170,100,4,1820,1,1,1,111,Low Value,Lost Customer
171,18,9,4833,3,4,4,344,High Value,Potential Customer
172,11,8,2348,4,4,2,442,Mid Value,Very Loyal
173,15,9,6549,4,4,4,444,High Value,Platinum Customer
174,11,10,7628,4,4,4,444,High Value,Platinum Customer
175,64,5,2170,2,2,2,222,Mid Value,High Risk Customer
176,22,5,3090,3,2,3,323,Mid Value,Late Bloomer
177,37,12,4108,3,4,3,343,High Value,Potential Customer
178,32,4,2184,3,1,2,312,Low Value,Late Bloomer
179,40,3,1814,3,1,1,311,Low Value,Losing Customer
180,11,7,4065,4,3,3,433,High Value,Becoming Loyal
181,50,6,2365,2,2,2,222,Mid Value,High Risk Customer
182,13,7,5409,4,3,4,434,High Value,Very Loyal
183,102,6,3187,1,2,3,123,Low Value,Evasive Customer
184,32,3,2181,3,1,2,312,Low Value,Late Bloomer
185,8,7,3547,4,3,3,433,High Value,Becoming Loyal
186,23,6,2166,3,2,2,322,Mid Value,Late Bloomer
187,14,7,3014,4,3,3,433,High Value,Becoming Loyal
188,15,6,2658,4,2,2,422,Mid Value,Becoming Loyal
189,3,5,5329,4,2,4,424,Mid Value,Becoming Loyal
190,29,4,704,3,1,1,311,Low Value,Losing Customer
191,105,1,834,1,1,1,111,Low Value,Lost Customer
192,79,4,1519,2,1,1,211,Low Value,Almost Lost Customer
193,24,5,2551,3,2,2,322,Mid Value,Late Bloomer
194,108,3,2608,1,1,2,112,Low Value,Evasive Customer
195,0,7,9633,4,3,4,434,High Value,Very Loyal
196,146,8,3737,1,4,3,143,Low Value,Almost Lost Customer
197,27,9,3651,3,4,3,343,High Value,Potential Customer
198,58,9,6631,2,4,4,244,Mid Value,Losing Customer
199,15,4,2650,4,1,2,412,Low Value,Recent Customer
200,7,9,7283,4,4,4,444,High Value,Platinum Customer
201,28,8,4369,3,4,4,344,High Value,Potential Customer
202,18,3,1295,3,1,1,311,Low Value,Losing Customer
203,11,5,1481,4,2,1,421,Mid Value,Recent Customer
204,27,8,6287,3,4,4,344,High Value,Potential Customer
205,52,9,2008,2,4,2,242,Mid Value,Losing Customer
206,77,4,3816,2,1,3,213,Low Value,High Risk Customer
207,279,3,1630,1,1,1,111,Low Value,Lost Customer
208,27,5,3342,3,2,3,323,Mid Value,Late Bloomer
209,107,5,3081,1,2,3,123,Low Value,Evasive Customer
210,22,6,2957,3,2,3,323,Mid Value,Late Bloomer
211,39,9,4090,3,4,3,343,High Value,Potential Customer
212,187,2,1790,1,1,1,111,Low Value,Lost Customer
213,28,11,8544,3,4,4,344,High Value,Potential Customer
214,56,6,2498,2,2,2,222,Mid Value,High Risk Customer
215,3,8,3889,4,4,3,443,High Value,Very Loyal
216,16,5,2152,4,2,2,422,Mid Value,Becoming Loyal
217,4,8,2335,4,4,2,442,Mid Value,Very Loyal
218,14,5,1476,4,2,1,421,Mid Value,Recent Customer
219,40,7,1688,3,3,1,331,Mid Value,Potential Customer
220,15,6,4304,4,2,4,424,Mid Value,Becoming Loyal
221,18,6,3865,3,2,3,323,Mid Value,Late Bloomer
222,20,2,1428,3,1,1,311,Low Value,Losing Customer
223,52,7,4410,2,3,4,234,Mid Value,Losing Customer
224,1,6,3692,4,2,3,423,Mid Value,Becoming Loyal
225,37,3,1587,3,1,1,311,Low Value,Losing Customer
226,116,2,1173,1,1,1,111,Low Value,Lost Customer
227,26,5,3906,3,2,3,323,Mid Value,Late Bloomer
228,77,5,3719,2,2,3,223,Mid Value,High Risk Customer
229,60,5,1811,2,2,1,221,Mid Value,High Risk Customer
230,36,11,5319,3,4,4,344,High Value,Potential Customer
231,45,4,2344,2,1,2,212,Low Value,Almost Lost Customer
232,141,6,3157,1,2,3,123,Low Value,Evasive Customer
233,17,6,2187,4,2,2,422,Mid Value,Becoming Loyal
234,11,10,5763,4,4,4,444,High Value,Platinum Customer
235,2,11,4685,4,4,4,444,High Value,Platinum Customer
236,6,4,2434,4,1,2,412,Low Value,Recent Customer
237,26,8,3635,3,4,3,343,High Value,Potential Customer
238,107,5,3112,1,2,3,123,Low Value,Evasive Customer
239,1,9,5928,4,4,4,444,High Value,Platinum Customer
240,88,6,2338,1,2,2,122,Low Value,Evasive Customer
241,47,4,1922,2,1,2,212,Low Value,Almost Lost Customer
242,131,7,2558,1,3,2,132,Low Value,Almost Lost Customer
243,74,6,2193,2,2,2,222,Mid Value,High Risk Customer
244,194,4,3269,1,1,3,113,Low Value,Evasive Customer
245,12,5,2213,4,2,2,422,Mid Value,Becoming Loyal
246,27,9,3174,3,4,3,343,High Value,Potential Customer
247,112,7,4913,1,3,4,134,Low Value,Almost Lost Customer
248,134,7,3193,1,3,3,133,Low Value,Almost Lost Customer
249,47,9,2236,2,4,2,242,Mid Value,Losing Customer
250,31,7,4019,3,3,3,333,High Value,Potential Customer
251,38,4,1210,3,1,1,311,Low Value,Losing Customer
252,62,5,2597,2,2,2,222,Mid Value,High Risk Customer
253,17,5,1191,4,2,1,421,Mid Value,Recent Customer
254,41,7,6780,3,3,4,334,High Value,Potential Customer
255,57,12,6813,2,4,4,244,Mid Value,Losing Customer
256,0,5,1728,4,2,1,421,Mid Value,Recent Customer
257,92,5,3650,1,2,3,123,Low Value,Evasive Customer
258,18,5,1642,3,2,1,321,Mid Value,Late Bloomer
259,27,4,2124,3,1,2,312,Low Value,Late Bloomer
260,8,9,3381,4,4,3,443,High Value,Very Loyal
261,50,9,4033,2,4,3,243,Mid Value,Losing Customer
262,10,5,2117,4,2,2,422,Mid Value,Becoming Loyal
263,46,7,3476,2,3,3,233,Mid Value,Losing Customer
264,48,5,1025,2,2,1,221,Mid Value,High Risk Customer
265,79,4,2692,2,1,2,212,Low Value,Almost Lost Customer
266,32,4,1742,3,1,1,311,Low Value,Losing Customer
267,130,4,2337,1,1,2,112,Low Value,Evasive Customer
268,69,4,2713,2,1,2,212,Low Value,Almost Lost Customer
269,168,5,1668,1,2,1,121,Low Value,Evasive Customer
270,7,7,4625,4,3,4,434,High Value,Very Loyal
271,202,2,1026,1,1,1,111,Low Value,Lost Customer
272,91,7,3842,1,3,3,133,Low Value,Almost Lost Customer
273,28,10,6519,3,4,4,344,High Value,Potential Customer
274,149,4,790,1,1,1,111,Low Value,Lost Customer
275,132,7,4141,1,3,3,133,Low Value,Almost Lost Customer
276,3,6,1107,4,2,1,421,Mid Value,Recent Customer
277,21,4,1967,3,1,2,312,Low Value,Late Bloomer
278,248,1,827,1,1,1,111,Low Value,Lost Customer
279,14,6,2455,4,2,2,422,Mid Value,Becoming Loyal
280,43,11,7360,3,4,4,344,High Value,Potential Customer
281,9,4,2233,4,1,2,412,Low Value,Recent Customer
282,69,2,624,2,1,1,211,Low Value,Almost Lost Customer
283,91,6,4926,1,2,4,124,Low Value,Evasive Customer
284,133,5,3251,1,2,3,123,Low Value,Evasive Customer
285,7,6,2626,4,2,2,422,Mid Value,Becoming Loyal
286,137,4,1954,1,1,2,112,Low Value,Evasive Customer
287,138,1,1408,1,1,1,111,Low Value,Lost Customer
288,44,4,1808,3,1,1,311,Low Value,Losing Customer
289,44,10,3924,3,4,3,343,High Value,Potential Customer
290,11,5,3368,4,2,3,423,Mid Value,Becoming Loyal
291,40,2,605,3,1,1,311,Low Value,Losing Customer
292,58,7,3631,2,3,3,233,Mid Value,Losing Customer
293,10,5,1991,4,2,2,422,Mid Value,Becoming Loyal
294,115,7,5509,1,3,4,134,Low Value,Almost Lost Customer
295,34,7,4539,3,3,4,334,High Value,Potential Customer
296,8,3,2515,4,1,2,412,Low Value,Recent Customer
297,8,4,3599,4,1,3,413,Low Value,Recent Customer
298,8,11,5285,4,4,4,444,High Value,Platinum Customer
299,92,7,6897,1,3,4,134,Low Value,Almost Lost Customer
300,156,5,3475,1,2,3,123,Low Value,Evasive Customer
301,93,2,89,1,1,1,111,Low Value,Lost Customer
302,276,2,255,1,1,1,111,Low Value,Lost Customer
303,43,3,3247,3,1,3,313,Low Value,Late Bloomer
304,80,9,2785,2,4,2,242,Mid Value,Losing Customer
305,33,7,2700,3,3,2,332,Mid Value,Potential Customer
306,123,2,239,1,1,1,111,Low Value,Lost Customer
307,15,9,3660,4,4,3,443,High Value,Very Loyal
308,25,6,4086,3,2,3,323,Mid Value,Late Bloomer
309,9,4,2208,4,1,2,412,Low Value,Recent Customer
310,8,7,4744,4,3,4,434,High Value,Very Loyal
311,61,6,4054,2,2,3,223,Mid Value,High Risk Customer
312,13,6,5001,4,2,4,424,Mid Value,Becoming Loyal
313,17,6,3186,4,2,3,423,Mid Value,Becoming Loyal
314,20,8,3200,3,4,3,343,High Value,Potential Customer
315,27,9,2200,3,4,2,342,Mid Value,Potential Customer
316,11,4,2158,4,1,2,412,Low Value,Recent Customer
317,51,5,3537,2,2,3,223,Mid Value,High Risk Customer
318,9,7,3632,4,3,3,433,High Value,Becoming Loyal
319,71,5,3955,2,2,3,223,Mid Value,High Risk Customer
320,12,10,7204,4,4,4,444,High Value,Platinum Customer
321,12,5,2006,4,2,2,422,Mid Value,Becoming Loyal
322,1,12,10341,4,4,4,444,High Value,Platinum Customer
323,35,6,2020,3,2,2,322,Mid Value,Late Bloomer
324,21,5,1779,3,2,1,321,Mid Value,Late Bloomer
325,133,7,4465,1,3,4,134,Low Value,Almost Lost Customer
326,161,3,1201,1,1,1,111,Low Value,Lost Customer
327,16,5,3498,4,2,3,423,Mid Value,Becoming Loyal
328,4,8,2357,4,4,2,442,Mid Value,Very Loyal
329,34,6,3618,3,2,3,323,Mid Value,Late Bloomer
330,107,6,5296,1,2,4,124,Low Value,Evasive Customer
331,82,7,4404,2,3,4,234,Mid Value,Losing Customer
332,263,2,239,1,1,1,111,Low Value,Lost Customer
333,22,7,3320,3,3,3,333,High Value,Potential Customer
334,56,6,2127,2,2,2,222,Mid Value,High Risk Customer
335,24,2,456,3,1,1,311,Low Value,Losing Customer
336,82,5,2598,2,2,2,222,Mid Value,High Risk Customer
337,37,6,3388,3,2,3,323,Mid Value,Late Bloomer
338,10,7,2343,4,3,2,432,Mid Value,Becoming Loyal
339,58,5,4327,2,2,4,224,Mid Value,High Risk Customer
340,30,8,2781,3,4,2,342,Mid Value,Potential Customer
341,134,2,955,1,1,1,111,Low Value,Lost Customer
342,93,4,667,1,1,1,111,Low Value,Lost Customer
343,103,9,5193,1,4,4,144,Low Value,Almost Lost Customer
344,8,9,8101,4,4,4,444,High Value,Platinum Customer
345,19,7,3971,3,3,3,333,High Value,Potential Customer
346,12,9,6420,4,4,4,444,High Value,Platinum Customer
347,59,7,8326,2,3,4,234,Mid Value,Losing Customer
348,125,6,2071,1,2,2,122,Low Value,Evasive Customer
349,166,5,1669,1,2,1,121,Low Value,Evasive Customer
350,4,6,1008,4,2,1,421,Mid Value,Recent Customer
351,11,2,1438,4,1,1,411,Low Value,Recent Customer
352,25,6,4404,3,2,4,324,Mid Value,Potential Customer
353,23,11,6792,3,4,4,344,High Value,Potential Customer
354,67,6,3101,2,2,3,223,Mid Value,High Risk Customer
355,45,5,2662,2,2,2,222,Mid Value,High Risk Customer
356,61,5,2358,2,2,2,222,Mid Value,High Risk Customer
357,15,8,4455,4,4,4,444,High Value,Platinum Customer
358,70,2,1405,2,1,1,211,Low Value,Almost Lost Customer
359,8,10,2921,4,4,3,443,High Value,Very Loyal
360,8,5,5070,4,2,4,424,Mid Value,Becoming Loyal
361,146,7,3428,1,3,3,133,Low Value,Almost Lost Customer
362,0,5,1473,4,2,1,421,Mid Value,Recent Customer
363,14,6,9458,4,2,4,424,Mid Value,Becoming Loyal
364,11,6,3329,4,2,3,423,Mid Value,Becoming Loyal
365,50,7,4724,2,3,4,234,Mid Value,Losing Customer
366,115,6,2692,1,2,2,122,Low Value,Evasive Customer
367,43,6,3634,3,2,3,323,Mid Value,Late Bloomer
368,13,9,3939,4,4,3,443,High Value,Very Loyal
369,101,8,3931,1,4,3,143,Low Value,Almost Lost Customer
370,111,7,3290,1,3,3,133,Low Value,Almost Lost Customer
371,9,5,5004,4,2,4,424,Mid Value,Becoming Loyal
372,31,8,2598,3,4,2,342,Mid Value,Potential Customer
373,223,1,1103,1,1,1,111,Low Value,Lost Customer
374,13,6,5271,4,2,4,424,Mid Value,Becoming Loyal
375,91,4,487,1,1,1,111,Low Value,Lost Customer
376,43,3,368,3,1,1,311,Low Value,Losing Customer
377,6,13,4276,4,4,4,444,High Value,Platinum Customer
378,124,7,3236,1,3,3,133,Low Value,Almost Lost Customer
379,145,2,640,1,1,1,111,Low Value,Lost Customer
380,35,8,6196,3,4,4,344,High Value,Potential Customer
381,2,8,4534,4,4,4,444,High Value,Platinum Customer
382,35,7,1657,3,3,1,331,Mid Value,Potential Customer
383,51,3,987,2,1,1,211,Low Value,Almost Lost Customer
384,85,5,2917,2,2,3,223,Mid Value,High Risk Customer
385,78,9,5220,2,4,4,244,Mid Value,Losing Customer
386,66,5,2415,2,2,2,222,Mid Value,High Risk Customer
387,31,3,3417,3,1,3,313,Low Value,Late Bloomer
388,55,3,1834,2,1,1,211,Low Value,Almost Lost Customer
389,113,6,2123,1,2,2,122,Low Value,Evasive Customer
390,76,6,1511,2,2,1,221,Mid Value,High Risk Customer
391,56,4,1315,2,1,1,211,Low Value,Almost Lost Customer
392,101,7,5025,1,3,4,134,Low Value,Almost Lost Customer
393,146,2,866,1,1,1,111,Low Value,Lost Customer
394,45,8,5445,2,4,4,244,Mid Value,Losing Customer
395,30,7,4597,3,3,4,334,High Value,Potential Customer
396,29,6,4647,3,2,4,324,Mid Value,Potential Customer
397,45,6,2618,2,2,2,222,Mid Value,High Risk Customer
398,12,7,938,4,3,1,431,Mid Value,Becoming Loyal
399,49,6,5020,2,2,4,224,Mid Value,High Risk Customer
400,134,5,2688,1,2,2,122,Low Value,Evasive Customer
401,29,7,3643,3,3,3,333,High Value,Potential Customer
402,56,6,4965,2,2,4,224,Mid Value,High Risk Customer
403,56,6,3653,2,2,3,223,Mid Value,High Risk Customer
404,18,9,4965,3,4,4,344,High Value,Potential Customer
405,14,6,3338,4,2,3,423,Mid Value,Becoming Loyal
406,106,6,3486,1,2,3,123,Low Value,Evasive Customer
407,9,9,4096,4,4,3,443,High Value,Very Loyal
408,17,5,3082,4,2,3,423,Mid Value,Becoming Loyal
409,13,4,2267,4,1,2,412,Low Value,Recent Customer
410,6,7,2177,4,3,2,432,Mid Value,Becoming Loyal
411,187,5,2553,1,2,2,122,Low Value,Evasive Customer
412,27,3,1055,3,1,1,311,Low Value,Losing Customer
413,167,5,3822,1,2,3,123,Low Value,Evasive Customer
414,47,6,2304,2,2,2,222,Mid Value,High Risk Customer
415,248,2,1490,1,1,1,111,Low Value,Lost Customer
416,88,5,3085,1,2,3,123,Low Value,Evasive Customer
417,70,8,3807,2,4,3,243,Mid Value,Losing Customer
418,28,6,3325,3,2,3,323,Mid Value,Late Bloomer
419,14,7,5027,4,3,4,434,High Value,Very Loyal
420,59,10,3652,2,4,3,243,Mid Value,Losing Customer
421,56,6,3952,2,2,3,223,Mid Value,High Risk Customer
422,133,4,2390,1,1,2,112,Low Value,Evasive Customer
423,141,5,1589,1,2,1,121,Low Value,Evasive Customer
424,74,7,4525,2,3,4,234,Mid Value,Losing Customer
425,25,7,7388,3,3,4,334,High Value,Potential Customer
426,59,9,6933,2,4,4,244,Mid Value,Losing Customer
427,109,4,2515,1,1,2,112,Low Value,Evasive Customer
428,51,8,3355,2,4,3,243,Mid Value,Losing Customer
429,18,8,3652,3,4,3,343,High Value,Potential Customer
430,65,6,5625,2,2,4,224,Mid Value,High Risk Customer
431,98,2,1215,1,1,1,111,Low Value,Lost Customer
432,21,8,5110,3,4,4,344,High Value,Potential Customer
433,15,9,3754,4,4,3,443,High Value,Very Loyal
434,297,2,1027,1,1,1,111,Low Value,Lost Customer
435,102,4,4727,1,1,4,114,Low Value,Evasive Customer
436,50,3,2124,2,1,2,212,Low Value,Almost Lost Customer
437,48,6,3045,2,2,3,223,Mid Value,High Risk Customer
438,51,8,7692,2,4,4,244,Mid Value,Losing Customer
439,99,6,2750,1,2,2,122,Low Value,Evasive Customer
440,11,8,2481,4,4,2,442,Mid Value,Very Loyal
441,62,3,1750,2,1,1,211,Low Value,Almost Lost Customer
442,13,7,2789,4,3,2,432,Mid Value,Becoming Loyal
443,4,7,3171,4,3,3,433,High Value,Becoming Loyal
444,45,7,3807,2,3,3,233,Mid Value,Losing Customer
445,24,11,8081,3,4,4,344,High Value,Potential Customer
446,52,8,5363,2,4,4,244,Mid Value,Losing Customer
447,0,6,2781,4,2,2,422,Mid Value,Becoming Loyal
448,188,5,2413,1,2,2,122,Low Value,Evasive Customer
449,133,6,3292,1,2,3,123,Low Value,Evasive Customer
450,82,4,3178,2,1,3,213,Low Value,High Risk Customer
451,66,6,2560,2,2,2,222,Mid Value,High Risk Customer
452,24,5,1561,3,2,1,321,Mid Value,Late Bloomer
453,41,8,2292,3,4,2,342,Mid Value,Potential Customer
454,49,7,4738,2,3,4,234,Mid Value,Losing Customer
455,67,3,1600,2,1,1,211,Low Value,Almost Lost Customer
456,88,5,2183,1,2,2,122,Low Value,Evasive Customer
457,115,5,3680,1,2,3,123,Low Value,Evasive Customer
458,26,5,1247,3,2,1,321,Mid Value,Late Bloomer
459,38,5,2402,3,2,2,322,Mid Value,Late Bloomer
460,17,4,2017,4,1,2,412,Low Value,Recent Customer
461,20,8,5722,3,4,4,344,High Value,Potential Customer
462,142,6,3600,1,2,3,123,Low Value,Evasive Customer
463,59,7,3829,2,3,3,233,Mid Value,Losing Customer
464,9,6,2102,4,2,2,422,Mid Value,Becoming Loyal
465,4,6,3488,4,2,3,423,Mid Value,Becoming Loyal
466,40,7,2813,3,3,2,332,Mid Value,Potential Customer
467,169,7,3850,1,3,3,133,Low Value,Almost Lost Customer
